STATE,BIOME,regionkey,Specie
AC,Amazonia,ACAmazonia,Apeiba tibourbou
AC,Amazonia,ACAmazonia,Apuleia leiocarpa
AC,Amazonia,ACAmazonia,Bixa orellana
AC,Amazonia,ACAmazonia,Cassia leiandra
AC,Amazonia,ACAmazonia,Cedrela fissilis
AC,Amazonia,ACAmazonia,Ceiba pentandra
AC,Amazonia,ACAmazonia,Chloroleucon mangense
AC,Amazonia,ACAmazonia,Cochlospermum orinocense
AC,Amazonia,ACAmazonia,Colubrina glandulosa
AC,Amazonia,ACAmazonia,Dinizia excelsa
AC,Amazonia,ACAmazonia,Dipteryx odorata
AC,Amazonia,ACAmazonia,Emmotum nitens
AC,Amazonia,ACAmazonia,Enterolobium schomburgkii
AC,Amazonia,ACAmazonia,Guazuma ulmifolia
AC,Amazonia,ACAmazonia,Handroanthus impetiginosus
AC,Amazonia,ACAmazonia,Handroanthus serratifolius
AC,Amazonia,ACAmazonia,Hymenaea courbaril
AC,Amazonia,ACAmazonia,Hymenaea intermedia
AC,Amazonia,ACAmazonia,Mabea fistulifera
AC,Amazonia,ACAmazonia,Ormosia excelsa
AC,Amazonia,ACAmazonia,Parkia multijuga
AC,Amazonia,ACAmazonia,Parkia pendula
AC,Amazonia,ACAmazonia,Platypodium elegans
AC,Amazonia,ACAmazonia,Psidium guajava
AC,Amazonia,ACAmazonia,Samanea tubulosa
AC,Amazonia,ACAmazonia,Schizolobium parahyba var. amazonicum
AC,Amazonia,ACAmazonia,Senegalia polyphylla
AC,Amazonia,ACAmazonia,Senna alata
AC,Amazonia,ACAmazonia,Senna multijuga
AC,Amazonia,ACAmazonia,Senna occidentalis
AC,Amazonia,ACAmazonia,Senna spectabilis
AC,Amazonia,ACAmazonia,Simarouba amara
AC,Amazonia,ACAmazonia,Solanum crinitum
AC,Amazonia,ACAmazonia,Spondias mombin
AC,Amazonia,ACAmazonia,Terminalia grandis
AC,Amazonia,ACAmazonia,Trattinnickia rhoifolia
AC,Amazonia,ACAmazonia,Trema micranthum
AC,Amazonia,ACAmazonia,Zanthoxylum rhoifolium
AL,Mata Atlantica,ALMata Atlantica,Andira fraxinifolia
AL,Mata Atlantica,ALMata Atlantica,Apeiba tibourbou
AL,Mata Atlantica,ALMata Atlantica,Apuleia leiocarpa
AL,Mata Atlantica,ALMata Atlantica,Astronium fraxinifolium
AL,Mata Atlantica,ALMata Atlantica,Astronium urundeuva
AL,Mata Atlantica,ALMata Atlantica,Bauhinia forficata
AL,Mata Atlantica,ALMata Atlantica,Bixa orellana
AL,Mata Atlantica,ALMata Atlantica,Cassia ferruginea
AL,Mata Atlantica,ALMata Atlantica,Cecropia pachystachya
AL,Mata Atlantica,ALMata Atlantica,Cedrela fissilis
AL,Mata Atlantica,ALMata Atlantica,Citharexylum myrianthum
AL,Mata Atlantica,ALMata Atlantica,Cordia trichotoma
AL,Mata Atlantica,ALMata Atlantica,Croton floribundus
AL,Mata Atlantica,ALMata Atlantica,Croton urucurana
AL,Mata Atlantica,ALMata Atlantica,Guazuma ulmifolia
AL,Mata Atlantica,ALMata Atlantica,Handroanthus impetiginosus
AL,Mata Atlantica,ALMata Atlantica,Handroanthus serratifolius
AL,Mata Atlantica,ALMata Atlantica,Hymenaea courbaril
AL,Mata Atlantica,ALMata Atlantica,Mimosa bimucronata
AL,Mata Atlantica,ALMata Atlantica,Peltophorum dubium
AL,Mata Atlantica,ALMata Atlantica,Psidium cattleyanum
AL,Mata Atlantica,ALMata Atlantica,Psidium guajava
AL,Mata Atlantica,ALMata Atlantica,Pterogyne nitens
AL,Mata Atlantica,ALMata Atlantica,Ricinus communis
AL,Mata Atlantica,ALMata Atlantica,Schinus terebinthifolia
AL,Mata Atlantica,ALMata Atlantica,Senegalia polyphylla
AL,Mata Atlantica,ALMata Atlantica,Senna alata
AL,Mata Atlantica,ALMata Atlantica,Senna macranthera
AL,Mata Atlantica,ALMata Atlantica,Senna multijuga
AL,Mata Atlantica,ALMata Atlantica,Senna occidentalis
AL,Mata Atlantica,ALMata Atlantica,Senna spectabilis
AL,Mata Atlantica,ALMata Atlantica,Simarouba amara
AL,Mata Atlantica,ALMata Atlantica,Tabebuia roseoalba
AL,Mata Atlantica,ALMata Atlantica,Trema micranthum
AL,Mata Atlantica,ALMata Atlantica,Zanthoxylum rhoifolium
AL,Mata Atlantica,ALMata Atlantica,Zeyheria tuberculosa
AM,Amazonia,AMAmazonia,Apeiba tibourbou
AM,Amazonia,AMAmazonia,Apuleia leiocarpa
AM,Amazonia,AMAmazonia,Bixa orellana
AM,Amazonia,AMAmazonia,Cassia leiandra
AM,Amazonia,AMAmazonia,Cedrela fissilis
AM,Amazonia,AMAmazonia,Ceiba pentandra
AM,Amazonia,AMAmazonia,Cochlospermum orinocense
AM,Amazonia,AMAmazonia,Colubrina glandulosa
AM,Amazonia,AMAmazonia,Copaifera martii
AM,Amazonia,AMAmazonia,Curatella americana
AM,Amazonia,AMAmazonia,Dinizia excelsa
AM,Amazonia,AMAmazonia,Dipteryx odorata
AM,Amazonia,AMAmazonia,Emmotum nitens
AM,Amazonia,AMAmazonia,Enterolobium schomburgkii
AM,Amazonia,AMAmazonia,Guazuma ulmifolia
AM,Amazonia,AMAmazonia,Handroanthus serratifolius
AM,Amazonia,AMAmazonia,Hymenaea courbaril
AM,Amazonia,AMAmazonia,Hymenaea intermedia
AM,Amazonia,AMAmazonia,Mabea fistulifera
AM,Amazonia,AMAmazonia,Ormosia excelsa
AM,Amazonia,AMAmazonia,Ormosia paraensis
AM,Amazonia,AMAmazonia,Parkia multijuga
AM,Amazonia,AMAmazonia,Parkia pendula
AM,Amazonia,AMAmazonia,Platypodium elegans
AM,Amazonia,AMAmazonia,Psidium guajava
AM,Amazonia,AMAmazonia,Samanea tubulosa
AM,Amazonia,AMAmazonia,Schizolobium parahyba var. amazonicum
AM,Amazonia,AMAmazonia,Senegalia polyphylla
AM,Amazonia,AMAmazonia,Senna alata
AM,Amazonia,AMAmazonia,Senna multijuga
AM,Amazonia,AMAmazonia,Senna occidentalis
AM,Amazonia,AMAmazonia,Simarouba amara
AM,Amazonia,AMAmazonia,Solanum crinitum
AM,Amazonia,AMAmazonia,Spondias mombin
AM,Amazonia,AMAmazonia,Tachigali bracteosa
AM,Amazonia,AMAmazonia,Tachigali vulgaris
AM,Amazonia,AMAmazonia,Terminalia grandis
AM,Amazonia,AMAmazonia,Terminalia tetraphylla
AM,Amazonia,AMAmazonia,Trattinnickia rhoifolia
AM,Amazonia,AMAmazonia,Trema micranthum
AM,Amazonia,AMAmazonia,Zanthoxylum rhoifolium
AP,Amazonia,APAmazonia,Apeiba tibourbou
AP,Amazonia,APAmazonia,Bixa orellana
AP,Amazonia,APAmazonia,Cassia leiandra
AP,Amazonia,APAmazonia,Chloroleucon acacioides
AP,Amazonia,APAmazonia,Cochlospermum orinocense
AP,Amazonia,APAmazonia,Curatella americana
AP,Amazonia,APAmazonia,Dinizia excelsa
AP,Amazonia,APAmazonia,Dipteryx odorata
AP,Amazonia,APAmazonia,Enterolobium schomburgkii
AP,Amazonia,APAmazonia,Guazuma ulmifolia
AP,Amazonia,APAmazonia,Handroanthus serratifolius
AP,Amazonia,APAmazonia,Hymenaea courbaril
AP,Amazonia,APAmazonia,Hymenaea intermedia
AP,Amazonia,APAmazonia,Mabea fistulifera
AP,Amazonia,APAmazonia,Ormosia paraensis
AP,Amazonia,APAmazonia,Parkia pendula
AP,Amazonia,APAmazonia,Senegalia polyphylla
AP,Amazonia,APAmazonia,Senna alata
AP,Amazonia,APAmazonia,Senna multijuga
AP,Amazonia,APAmazonia,Senna occidentalis
AP,Amazonia,APAmazonia,Simarouba amara
AP,Amazonia,APAmazonia,Solanum crinitum
AP,Amazonia,APAmazonia,Spondias mombin
AP,Amazonia,APAmazonia,Terminalia tetraphylla
AP,Amazonia,APAmazonia,Trattinnickia rhoifolia
AP,Amazonia,APAmazonia,Trema micranthum
AP,Amazonia,APAmazonia,Zanthoxylum rhoifolium
BA,Cerrado,BACerrado,Achyrocline satureioides
BA,Cerrado,BACerrado,Acrocomia aculeata
BA,Cerrado,BACerrado,Amburana cearensis
BA,Cerrado,BACerrado,Anacardium occidentale
BA,Cerrado,BACerrado,Anadenanthera colubrina
BA,Cerrado,BACerrado,Anadenanthera peregrina
BA,Cerrado,BACerrado,Andira cujabensis
BA,Cerrado,BACerrado,Andira vermifuga
BA,Cerrado,BACerrado,Andropogon fastigiatus
BA,Cerrado,BACerrado,Aristida gibbosa
BA,Cerrado,BACerrado,Aristida longifolia
BA,Cerrado,BACerrado,Aristida riparia
BA,Cerrado,BACerrado,Aspidosperma macrocarpon
BA,Cerrado,BACerrado,Aspidosperma tomentosum
BA,Cerrado,BACerrado,Astronium fraxinifolium
BA,Cerrado,BACerrado,Astronium urundeuva
BA,Cerrado,BACerrado,Axonopus aureus
BA,Cerrado,BACerrado,Byrsonima cydoniifolia
BA,Cerrado,BACerrado,Caryocar brasiliense
BA,Cerrado,BACerrado,Chromolaena maximiliani
BA,Cerrado,BACerrado,Combretum duarteanum
BA,Cerrado,BACerrado,Copaifera langsdorffii
BA,Cerrado,BACerrado,Cybistax antisyphilitica
BA,Cerrado,BACerrado,Dalbergia miscolobium
BA,Cerrado,BACerrado,Dimorphandra mollis
BA,Cerrado,BACerrado,Dipteryx alata
BA,Cerrado,BACerrado,Echinolaena inflexa
BA,Cerrado,BACerrado,Emmotum nitens
BA,Cerrado,BACerrado,Enterolobium contortisiliquum
BA,Cerrado,BACerrado,Eremanthus glomerulatus
BA,Cerrado,BACerrado,Eremanthus uniflorus
BA,Cerrado,BACerrado,Guazuma ulmifolia
BA,Cerrado,BACerrado,Handroanthus ochraceus
BA,Cerrado,BACerrado,Hymenaea stigonocarpa
BA,Cerrado,BACerrado,Jacaranda brasiliana
BA,Cerrado,BACerrado,Kielmeyera coriacea
BA,Cerrado,BACerrado,Lepidaploa aurea
BA,Cerrado,BACerrado,Loudetiopsis chrysothrix
BA,Cerrado,BACerrado,Machaerium opacum
BA,Cerrado,BACerrado,Macropsychanthus violaceus
BA,Cerrado,BACerrado,Magonia pubescens
BA,Cerrado,BACerrado,Mauritiella armata
BA,Cerrado,BACerrado,Peltogyne confertiflora
BA,Cerrado,BACerrado,Plathymenia reticulata
BA,Cerrado,BACerrado,Platypodium elegans
BA,Cerrado,BACerrado,Pterogyne nitens
BA,Cerrado,BACerrado,Qualea grandiflora
BA,Cerrado,BACerrado,Schizachyrium sanguineum
BA,Cerrado,BACerrado,Senegalia polyphylla
BA,Cerrado,BACerrado,Senna alata
BA,Cerrado,BACerrado,Senna spectabilis
BA,Cerrado,BACerrado,Simarouba amara
BA,Cerrado,BACerrado,Simarouba versicolor
BA,Cerrado,BACerrado,Solanum lycocarpum
BA,Cerrado,BACerrado,Sterculia striata
BA,Cerrado,BACerrado,Stryphnodendron adstringens
BA,Cerrado,BACerrado,Syagrus oleracea
BA,Cerrado,BACerrado,Tabebuia aurea
BA,Cerrado,BACerrado,Tachigali aurea
BA,Cerrado,BACerrado,Tachigali vulgaris
BA,Cerrado,BACerrado,Terminalia argentea
BA,Cerrado,BACerrado,Terminalia corrugata
BA,Cerrado,BACerrado,Terminalia fagifolia
BA,Cerrado,BACerrado,Trachypogon spicatus
BA,Cerrado,BACerrado,Vatairea macrocarpa
BA,Cerrado,BACerrado,Vernonanthura polyanthes
BA,Mata Atlantica,BAMata Atlantica,Albizia niopoides
BA,Mata Atlantica,BAMata Atlantica,Alchornea triplinervia
BA,Mata Atlantica,BAMata Atlantica,Anadenanthera colubrina
BA,Mata Atlantica,BAMata Atlantica,Anadenanthera peregrina
BA,Mata Atlantica,BAMata Atlantica,Andira fraxinifolia
BA,Mata Atlantica,BAMata Atlantica,Apeiba tibourbou
BA,Mata Atlantica,BAMata Atlantica,Apuleia leiocarpa
BA,Mata Atlantica,BAMata Atlantica,Astronium fraxinifolium
BA,Mata Atlantica,BAMata Atlantica,Astronium urundeuva
BA,Mata Atlantica,BAMata Atlantica,Axonopus siccus
BA,Mata Atlantica,BAMata Atlantica,Bauhinia forficata
BA,Mata Atlantica,BAMata Atlantica,Bixa orellana
BA,Mata Atlantica,BAMata Atlantica,Cassia ferruginea
BA,Mata Atlantica,BAMata Atlantica,Cecropia glaziovii
BA,Mata Atlantica,BAMata Atlantica,Cecropia pachystachya
BA,Mata Atlantica,BAMata Atlantica,Cedrela fissilis
BA,Mata Atlantica,BAMata Atlantica,Ceiba speciosa
BA,Mata Atlantica,BAMata Atlantica,Chromolaena maximiliani
BA,Mata Atlantica,BAMata Atlantica,Citharexylum myrianthum
BA,Mata Atlantica,BAMata Atlantica,Copaifera langsdorffii
BA,Mata Atlantica,BAMata Atlantica,Cordia trichotoma
BA,Mata Atlantica,BAMata Atlantica,Croton floribundus
BA,Mata Atlantica,BAMata Atlantica,Croton urucurana
BA,Mata Atlantica,BAMata Atlantica,Emmotum nitens
BA,Mata Atlantica,BAMata Atlantica,Enterolobium contortisiliquum
BA,Mata Atlantica,BAMata Atlantica,Enterolobium timbouva
BA,Mata Atlantica,BAMata Atlantica,Erythrina speciosa
BA,Mata Atlantica,BAMata Atlantica,Gallesia integrifolia
BA,Mata Atlantica,BAMata Atlantica,Guazuma ulmifolia
BA,Mata Atlantica,BAMata Atlantica,Handroanthus heptaphyllus
BA,Mata Atlantica,BAMata Atlantica,Handroanthus impetiginosus
BA,Mata Atlantica,BAMata Atlantica,Handroanthus ochraceus
BA,Mata Atlantica,BAMata Atlantica,Handroanthus serratifolius
BA,Mata Atlantica,BAMata Atlantica,Hymenaea courbaril
BA,Mata Atlantica,BAMata Atlantica,Mabea fistulifera
BA,Mata Atlantica,BAMata Atlantica,Maclura tinctoria
BA,Mata Atlantica,BAMata Atlantica,Macropsychanthus violaceus
BA,Mata Atlantica,BAMata Atlantica,Mimosa bimucronata
BA,Mata Atlantica,BAMata Atlantica,Myroxylon peruiferum
BA,Mata Atlantica,BAMata Atlantica,Ormosia arborea
BA,Mata Atlantica,BAMata Atlantica,Peltophorum dubium
BA,Mata Atlantica,BAMata Atlantica,Platypodium elegans
BA,Mata Atlantica,BAMata Atlantica,Psidium cattleyanum
BA,Mata Atlantica,BAMata Atlantica,Psidium guajava
BA,Mata Atlantica,BAMata Atlantica,Pterogyne nitens
BA,Mata Atlantica,BAMata Atlantica,Ricinus communis
BA,Mata Atlantica,BAMata Atlantica,Schinus terebinthifolia
BA,Mata Atlantica,BAMata Atlantica,Schizolobium parahyba var. parahyba
BA,Mata Atlantica,BAMata Atlantica,Senegalia polyphylla
BA,Mata Atlantica,BAMata Atlantica,Senna alata
BA,Mata Atlantica,BAMata Atlantica,Senna macranthera
BA,Mata Atlantica,BAMata Atlantica,Senna multijuga
BA,Mata Atlantica,BAMata Atlantica,Senna occidentalis
BA,Mata Atlantica,BAMata Atlantica,Senna spectabilis
BA,Mata Atlantica,BAMata Atlantica,Simarouba amara
BA,Mata Atlantica,BAMata Atlantica,Syagrus romanzoffiana
BA,Mata Atlantica,BAMata Atlantica,Tabebuia roseoalba
BA,Mata Atlantica,BAMata Atlantica,Trema micranthum
BA,Mata Atlantica,BAMata Atlantica,Vitex megapotamica
BA,Mata Atlantica,BAMata Atlantica,Zanthoxylum rhoifolium
BA,Mata Atlantica,BAMata Atlantica,Zeyheria tuberculosa
DF,Cerrado,DFCerrado,Acrocomia aculeata
DF,Cerrado,DFCerrado,Aldama bracteata
DF,Cerrado,DFCerrado,Anacardium occidentale
DF,Cerrado,DFCerrado,Anadenanthera colubrina
DF,Cerrado,DFCerrado,Anadenanthera peregrina
DF,Cerrado,DFCerrado,Andira cujabensis
DF,Cerrado,DFCerrado,Andira vermifuga
DF,Cerrado,DFCerrado,Andropogon fastigiatus
DF,Cerrado,DFCerrado,Aristida gibbosa
DF,Cerrado,DFCerrado,Aristida longifolia
DF,Cerrado,DFCerrado,Aristida riparia
DF,Cerrado,DFCerrado,Aspidosperma macrocarpon
DF,Cerrado,DFCerrado,Aspidosperma tomentosum
DF,Cerrado,DFCerrado,Astronium fraxinifolium
DF,Cerrado,DFCerrado,Astronium urundeuva
DF,Cerrado,DFCerrado,Axonopus aureus
DF,Cerrado,DFCerrado,Byrsonima cydoniifolia
DF,Cerrado,DFCerrado,Caryocar brasiliense
DF,Cerrado,DFCerrado,Chromolaena maximiliani
DF,Cerrado,DFCerrado,Combretum duarteanum
DF,Cerrado,DFCerrado,Copaifera langsdorffii
DF,Cerrado,DFCerrado,Cybistax antisyphilitica
DF,Cerrado,DFCerrado,Dalbergia miscolobium
DF,Cerrado,DFCerrado,Dimorphandra mollis
DF,Cerrado,DFCerrado,Dipteryx alata
DF,Cerrado,DFCerrado,Echinolaena inflexa
DF,Cerrado,DFCerrado,Emmotum nitens
DF,Cerrado,DFCerrado,Enterolobium contortisiliquum
DF,Cerrado,DFCerrado,Eremanthus glomerulatus
DF,Cerrado,DFCerrado,Guazuma ulmifolia
DF,Cerrado,DFCerrado,Handroanthus ochraceus
DF,Cerrado,DFCerrado,Hymenaea stigonocarpa
DF,Cerrado,DFCerrado,Hyparrhenia bracteata
DF,Cerrado,DFCerrado,Jacaranda brasiliana
DF,Cerrado,DFCerrado,Kielmeyera coriacea
DF,Cerrado,DFCerrado,Lepidaploa aurea
DF,Cerrado,DFCerrado,Loudetiopsis chrysothrix
DF,Cerrado,DFCerrado,Machaerium opacum
DF,Cerrado,DFCerrado,Magonia pubescens
DF,Cerrado,DFCerrado,Mimosa claussenii
DF,Cerrado,DFCerrado,Peltogyne confertiflora
DF,Cerrado,DFCerrado,Plathymenia reticulata
DF,Cerrado,DFCerrado,Platypodium elegans
DF,Cerrado,DFCerrado,Qualea grandiflora
DF,Cerrado,DFCerrado,Schizachyrium sanguineum
DF,Cerrado,DFCerrado,Senegalia polyphylla
DF,Cerrado,DFCerrado,Senna alata
DF,Cerrado,DFCerrado,Senna spectabilis
DF,Cerrado,DFCerrado,Simarouba amara
DF,Cerrado,DFCerrado,Simarouba versicolor
DF,Cerrado,DFCerrado,Solanum lycocarpum
DF,Cerrado,DFCerrado,Sterculia striata
DF,Cerrado,DFCerrado,Stryphnodendron adstringens
DF,Cerrado,DFCerrado,Syagrus oleracea
DF,Cerrado,DFCerrado,Tabebuia aurea
DF,Cerrado,DFCerrado,Tachigali aurea
DF,Cerrado,DFCerrado,Tachigali vulgaris
DF,Cerrado,DFCerrado,Terminalia argentea
DF,Cerrado,DFCerrado,Terminalia corrugata
DF,Cerrado,DFCerrado,Terminalia fagifolia
DF,Cerrado,DFCerrado,Trachypogon spicatus
DF,Cerrado,DFCerrado,Vatairea macrocarpa
ES,Mata Atlantica,ESMata Atlantica,Alchornea triplinervia
ES,Mata Atlantica,ESMata Atlantica,Andira fraxinifolia
ES,Mata Atlantica,ESMata Atlantica,Apeiba tibourbou
ES,Mata Atlantica,ESMata Atlantica,Apuleia leiocarpa
ES,Mata Atlantica,ESMata Atlantica,Astronium urundeuva
ES,Mata Atlantica,ESMata Atlantica,Axonopus siccus
ES,Mata Atlantica,ESMata Atlantica,Bauhinia forficata
ES,Mata Atlantica,ESMata Atlantica,Bixa orellana
ES,Mata Atlantica,ESMata Atlantica,Cassia ferruginea
ES,Mata Atlantica,ESMata Atlantica,Cecropia glaziovii
ES,Mata Atlantica,ESMata Atlantica,Cecropia pachystachya
ES,Mata Atlantica,ESMata Atlantica,Cedrela fissilis
ES,Mata Atlantica,ESMata Atlantica,Ceiba speciosa
ES,Mata Atlantica,ESMata Atlantica,Chromolaena maximiliani
ES,Mata Atlantica,ESMata Atlantica,Citharexylum myrianthum
ES,Mata Atlantica,ESMata Atlantica,Copaifera langsdorffii
ES,Mata Atlantica,ESMata Atlantica,Cordia trichotoma
ES,Mata Atlantica,ESMata Atlantica,Croton floribundus
ES,Mata Atlantica,ESMata Atlantica,Croton urucurana
ES,Mata Atlantica,ESMata Atlantica,Enterolobium contortisiliquum
ES,Mata Atlantica,ESMata Atlantica,Erythrina speciosa
ES,Mata Atlantica,ESMata Atlantica,Guazuma ulmifolia
ES,Mata Atlantica,ESMata Atlantica,Handroanthus heptaphyllus
ES,Mata Atlantica,ESMata Atlantica,Handroanthus impetiginosus
ES,Mata Atlantica,ESMata Atlantica,Handroanthus ochraceus
ES,Mata Atlantica,ESMata Atlantica,Handroanthus serratifolius
ES,Mata Atlantica,ESMata Atlantica,Hymenaea courbaril
ES,Mata Atlantica,ESMata Atlantica,Mabea fistulifera
ES,Mata Atlantica,ESMata Atlantica,Maclura tinctoria
ES,Mata Atlantica,ESMata Atlantica,Macropsychanthus violaceus
ES,Mata Atlantica,ESMata Atlantica,Mimosa bimucronata
ES,Mata Atlantica,ESMata Atlantica,Myroxylon peruiferum
ES,Mata Atlantica,ESMata Atlantica,Ormosia arborea
ES,Mata Atlantica,ESMata Atlantica,Peltophorum dubium
ES,Mata Atlantica,ESMata Atlantica,Platypodium elegans
ES,Mata Atlantica,ESMata Atlantica,Psidium cattleyanum
ES,Mata Atlantica,ESMata Atlantica,Psidium guajava
ES,Mata Atlantica,ESMata Atlantica,Pterogyne nitens
ES,Mata Atlantica,ESMata Atlantica,Ricinus communis
ES,Mata Atlantica,ESMata Atlantica,Schinus terebinthifolia
ES,Mata Atlantica,ESMata Atlantica,Schizolobium parahyba var. parahyba
ES,Mata Atlantica,ESMata Atlantica,Senegalia polyphylla
ES,Mata Atlantica,ESMata Atlantica,Senna alata
ES,Mata Atlantica,ESMata Atlantica,Senna macranthera
ES,Mata Atlantica,ESMata Atlantica,Senna multijuga
ES,Mata Atlantica,ESMata Atlantica,Senna occidentalis
ES,Mata Atlantica,ESMata Atlantica,Simarouba amara
ES,Mata Atlantica,ESMata Atlantica,Syagrus romanzoffiana
ES,Mata Atlantica,ESMata Atlantica,Tabebuia roseoalba
ES,Mata Atlantica,ESMata Atlantica,Trema micranthum
ES,Mata Atlantica,ESMata Atlantica,Vitex megapotamica
ES,Mata Atlantica,ESMata Atlantica,Zanthoxylum rhoifolium
ES,Mata Atlantica,ESMata Atlantica,Zeyheria tuberculosa
GO,Cerrado,GOCerrado,Acrocomia aculeata
GO,Cerrado,GOCerrado,Aldama bracteata
GO,Cerrado,GOCerrado,Amburana cearensis
GO,Cerrado,GOCerrado,Anacardium occidentale
GO,Cerrado,GOCerrado,Anadenanthera colubrina
GO,Cerrado,GOCerrado,Anadenanthera peregrina
GO,Cerrado,GOCerrado,Andira cujabensis
GO,Cerrado,GOCerrado,Andira vermifuga
GO,Cerrado,GOCerrado,Andropogon fastigiatus
GO,Cerrado,GOCerrado,Aristida gibbosa
GO,Cerrado,GOCerrado,Aristida longifolia
GO,Cerrado,GOCerrado,Aristida riparia
GO,Cerrado,GOCerrado,Aspidosperma macrocarpon
GO,Cerrado,GOCerrado,Aspidosperma tomentosum
GO,Cerrado,GOCerrado,Astronium fraxinifolium
GO,Cerrado,GOCerrado,Astronium urundeuva
GO,Cerrado,GOCerrado,Axonopus aureus
GO,Cerrado,GOCerrado,Byrsonima cydoniifolia
GO,Cerrado,GOCerrado,Caryocar brasiliense
GO,Cerrado,GOCerrado,Chromolaena maximiliani
GO,Cerrado,GOCerrado,Combretum duarteanum
GO,Cerrado,GOCerrado,Copaifera langsdorffii
GO,Cerrado,GOCerrado,Cordia alliodora
GO,Cerrado,GOCerrado,Cybistax antisyphilitica
GO,Cerrado,GOCerrado,Dalbergia miscolobium
GO,Cerrado,GOCerrado,Dimorphandra mollis
GO,Cerrado,GOCerrado,Dipteryx alata
GO,Cerrado,GOCerrado,Echinolaena inflexa
GO,Cerrado,GOCerrado,Emmotum nitens
GO,Cerrado,GOCerrado,Enterolobium contortisiliquum
GO,Cerrado,GOCerrado,Eremanthus glomerulatus
GO,Cerrado,GOCerrado,Eremanthus uniflorus
GO,Cerrado,GOCerrado,Guazuma ulmifolia
GO,Cerrado,GOCerrado,Handroanthus ochraceus
GO,Cerrado,GOCerrado,Hymenaea stigonocarpa
GO,Cerrado,GOCerrado,Hyparrhenia bracteata
GO,Cerrado,GOCerrado,Jacaranda brasiliana
GO,Cerrado,GOCerrado,Kielmeyera coriacea
GO,Cerrado,GOCerrado,Lepidaploa aurea
GO,Cerrado,GOCerrado,Loudetiopsis chrysothrix
GO,Cerrado,GOCerrado,Machaerium opacum
GO,Cerrado,GOCerrado,Magonia pubescens
GO,Cerrado,GOCerrado,Mauritiella armata
GO,Cerrado,GOCerrado,Mimosa claussenii
GO,Cerrado,GOCerrado,Peltogyne confertiflora
GO,Cerrado,GOCerrado,Plathymenia reticulata
GO,Cerrado,GOCerrado,Platypodium elegans
GO,Cerrado,GOCerrado,Pterogyne nitens
GO,Cerrado,GOCerrado,Qualea grandiflora
GO,Cerrado,GOCerrado,Schizachyrium sanguineum
GO,Cerrado,GOCerrado,Senegalia polyphylla
GO,Cerrado,GOCerrado,Senna alata
GO,Cerrado,GOCerrado,Senna spectabilis
GO,Cerrado,GOCerrado,Simarouba amara
GO,Cerrado,GOCerrado,Simarouba versicolor
GO,Cerrado,GOCerrado,Solanum lycocarpum
GO,Cerrado,GOCerrado,Sterculia striata
GO,Cerrado,GOCerrado,Stryphnodendron adstringens
GO,Cerrado,GOCerrado,Syagrus oleracea
GO,Cerrado,GOCerrado,Tabebuia aurea
GO,Cerrado,GOCerrado,Tachigali aurea
GO,Cerrado,GOCerrado,Tachigali vulgaris
