Species,Seeds/kg,Germination Rate (%)
Cassia leiandra,30 000,0.4
Ceiba pentandra,18 000,0.7
Chloroleucon acacioides,30 722,0.9
Chloroleucon mangense,8 000,0.5
Cochlospermum orinocense,3 300,0.5
Colubrina glandulosa,70 000,0.5
Copaifera martii,1 720,0.5
Curatella americana,55 000,0.5
Dinizia excelsa,7 700,0.5
Dipteryx odorata,454,0.5
Enterolobium schomburgkii,18 000,0.7
Hymenaea intermedia,269,0.9
Oenocarpus distichus,600,0.5
Ormosia excelsa,730,0.5
Ormosia paraensis,1 000,0.5
Parkia multijuga,231,0.5
Parkia pendula,10 000,0.6
Schizolobium parahyba var. amazonicum,1 130,0.5
Solanum crinitum,50 000,0.5
Spondias mombin,830,0.5
Tachigali bracteosa,17 000,0.5
Trattinnickia rhoifolia,760,0.5
Tachigali vulgaris,14 000,0.5
Senna spectabilis,39 000,0.5
Simarouba amara,5 890,0.5
Apeiba tibourbou,100 000,0.6
Apuleia leiocarpa,15 385,0.5
Bixa orellana,40 000,0.8
Cecropia pachystachya,400 000,0.8
Cedrela fissilis,23 000,0.9
Ceiba speciosa,16 800,0.8
Handroanthus impetiginosus,70 000,0.5
Handroanthus serratifolius,14 900,0.5
Hymenaea courbaril,270,0.8
Mabea fistulifera,10 000,0.5
Psidium guajava,71 400,0.5
Samanea tubulosa,88 400,0.5
Senna multijuga,50 000,0.5
Senna occidentalis,167 000,0.5
Trema micranthum,135 000,0.5
Zanthoxylum rhoifolium,72 400,0.5
Astronium fraxinifolium,35 500,0.8
Guazuma ulmifolia,164 000,0.7
Senegalia polyphylla,13 000,0.8
Senna alata,23 255,0.5
Achyrocline satureioides,2 000 000,0.5
Acrocomia aculeata,115,0.5
Aldama bracteata,66 000 000,0.5
Amburana cearensis,1 650,0.5
Anacardium occidentale,223,0.5
Andira cujabensis,350,0.5
Andira vermifuga,250,0.5
Andropogon fastigiatus,200 000,0.5
Aristida gibbosa,50 000,0.5
Aristida longifolia,2 000 000,0.5
Aristida riparia,65 000 000,0.5
Aspidosperma macrocarpon,1 000,0.5
Aspidosperma tomentosum,2 100,0.5
Axonopus aureus,1 600 000,0.5
Byrsonima cydoniifolia,3 780,0.5
Caryocar brasiliense,200,0.5
Combretum duarteanum,6 000,0.5
Cordia alliodora,71 000,0.7
Cybistax antisyphilitica,27 700,0.5
Dalbergia miscolobium,3 100,0.5
Dimorphandra mollis,3 700,0.5
Dipteryx alata,600,0.5
Echinolaena inflexa,450 000,0.5
Eremanthus glomerulatus,154 000,0.5
Eremanthus uniflorus,154 000,0.5
Hymenaea stigonocarpa,300,0.5
Hyparrhenia bracteata,1 400 000,0.5
Jacaranda brasiliana,35 000,0.7
Kielmeyera coriacea,18 000,0.5
Lepidaploa aurea,1 000 000,0.5
Loudetiopsis chrysothrix,150 000,0.5
Machaerium opacum,2 500,0.5
Magonia pubescens,447,0.5
Mauritiella armata,200,0.5
Mimosa claussenii,31 000,0.5
Peltogyne confertiflora,1 100,0.5
Plathymenia reticulata,16 000,0.5
Qualea grandiflora,6 000,0.5
Schizachyrium sanguineum,400 000,0.5
Simarouba versicolor,3 000,0.5
Solanum lycocarpum,50 000,0.5
Stryphnodendron adstringens,12 600,0.5
Syagrus oleracea,35,0.5
Tabebuia aurea,6 000,0.5
Tachigali aurea,11 000,0.5
Terminalia argentea,3 720,0.5
Terminalia corrugata,327,0.5
Terminalia fagifolia,23 000,0.5
Trachypogon spicatus,160 450,0.5
Vatairea macrocarpa,700,0.5
Vernonanthura polyanthes,3 000 000,0.5
Sterculia striata,400,0.5
Emmotum nitens,600,0.5
Chromolaena maximiliani,2 000 000,0.5
Handroanthus ochraceus,72 000,0.5
Albizia niopoides,22 500,0.9
Alchornea triplinervia,18 500,0.5
Andira fraxinifolia,70,0.5
Axonopus siccus,5 000 000,0.5
Bauhinia forficata,9 000,0.7
Cassia ferruginea,14 400,0.3
Cecropia glaziovii,400 000,0.5
Citharexylum myrianthum,20 000,0.5
Cordia trichotoma,32 500,0.5
Croton floribundus,27 500,0.2
Croton urucurana,109 700,0.5
Enterolobium timbouva,1 600,0.5
Erythrina speciosa,5 700,0.5
Gallesia integrifolia,15 300,0.5
Handroanthus heptaphyllus,70 000,0.5
Jacaranda cuspidifolia,33 000,0.5
Maclura tinctoria,384 000,0.5
Mimosa bimucronata,90 000,0.9
Myroxylon peruiferum,1 700,0.7
Ormosia arborea,800,0.5
Peltophorum dubium,22 000,0.7
Psidium cattleyanum,65 000,0.5
Ricinus communis,2 330,0.5
Schinus terebinthifolia,50 000,0.5
Schizolobium parahyba var. parahyba,1 000,0.9
Senna macranthera,25 000,0.5
Syagrus romanzoffiana,390,0.5
Tabebuia roseoalba,71 000,0.5
Vitex megapotamica,2 600,0.1
Zeyheria tuberculosa,15 000,0.5
Anadenanthera colubrina,6 500,0.9
Anadenanthera peregrina,10 500,0.7
Astronium urundeuva,59 000,0.7
Copaifera langsdorffii,1 850,0.8
Enterolobium contortisiliquum,1 560,1.0
Pterogyne nitens,5 000,0.5
Platypodium elegans,885,0.5
FILLING,32 500,0.5
FILLING,27 500,0.5
FILLING,109 700,0.5
FILLING,1 600,0.5
FILLING,5 700,0.5
FILLING,15 300,0.5
FILLING,150 000,0.5
FILLING,2 500,0.5
FILLING,447,0.5
FILLING,200,0.5
FILLING,31 000,0.5
FILLING,1 100,0.5
FILLING,16 000,0.5